date,number of stars,file name
1775-12-03,0,0stars.png
1777-06-14,13,13stars.png
1795-05-01,15,15stars.png
1818-07-04,20,20stars.png
1819-07-04,21,21stars.png
1820-07-04,23,23stars.png
1822-07-04,24,24stars.png
1836-07-04,25,25stars.png
1837-07-04,26,26stars.png
1845-07-04,27,27stars.png
1846-07-04,28,28stars.png
1847-07-04,29,29stars.png
1848-07-04,30,30stars.png
1851-07-04,31,31stars.png
1858-07-04,32,32stars.png
1859-07-04,33,33stars.png
1861-07-04,34,34stars.png
1863-07-04,35,35stars.png
1865-07-04,36,36stars.png
1867-07-04,37,37stars.png
1877-07-04,38,38stars.png
1890-07-04,43,43stars.png
1891-07-04,44,44stars.png
1896-07-04,45,45stars.png
1908-07-04,46,46stars.png
1912-07-04,48,48stars.png
1959-07-04,49,49stars.png
1960-07-04,50,50stars.png
