,Census year,Population,Yearly Growth
0,1610,350,195.0
1,1620,2302,234.0
2,1630,4646,2199.0
3,1640,26634,2373.0
4,1650,50368,2469.0
5,1660,75058,3688.0
6,1670,111935,3957.0
7,1680,151507,5886.0
8,1690,210372,4052.0
9,1700,250888,8082.0
10,1710,331711,13447.0
11,1720,466185,16326.0
12,1730,629445,27612.0
13,1740,905563,26520.0
14,1750,1170760,42286.0
15,1760,1593625,55445.0
16,1770,2148076,63229.0
17,1780,2780369,114884.0
18,1790,3929214,137927.0
19,1800,5308483,193140.0
20,1810,7239881,239857.0
21,1820,9638453,322757.0
22,1830,12866020,420343.0
23,1840,17069453,612242.0
24,1850,23191876,825144.0
25,1860,31443321,711505.0
26,1870,38558371,1163084.0
27,1880,50189209,1279056.0
28,1890,62979766,1323240.0
29,1900,76212168,1601633.0
30,1910,92228496,1379304.0
31,1920,106021537,1718109.0
32,1930,123202624,896194.0
33,1940,132164569,1916123.0
34,1950,151325798,2799738.0
35,1960,179323175,2388875.0
36,1970,203211926,2333388.0
37,1980,226545805,2216407.0
38,1990,248709873,3271203.0
39,2000,281421906,2732363.0
40,2010,308745538,2270374.0
41,2020,331449281,
